"사망원인별(104항목)","성별","연령(5세)별","항목","단위","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"계","계","15 - 19세","사망자수[명]","명","1025","1000","958","1071","1004","1073","1034","1003","905","812","870","685","718","626","620","610","563","536","550",
"계","계","15 - 19세","사망률[십만명당]","십만명당","32.4","31.9","30.2","32.8","29.9","31.2","29.4","28.3","25.8","23.6","25.9","20.9","22.5","20.6","21.6","22.4","22.1","22.4","23.5",
"계","계","20 - 24세","사망자수[명]","명","1809","1869","1499","1629","1525","1507","1411","1318","1255","1217","1131","1155","1131","1087","1144","1126","1118","1138","1073",
"계","계","20 - 24세","사망률[십만명당]","십만명당","45.4","49.1","41.6","48","47.3","47.9","45.1","41.7","38.6","36.3","32.9","32.9","32","31.1","33.3","33.6","34.2","35.8","35.5",
"계","계","25 - 29세","사망자수[명]","명","2206","2308","2116","2451","2507","2544","2349","2158","1733","1565","1449","1479","1374","1384","1384","1435","1588","1640","1684",
"계","계","25 - 29세","사망률[십만명당]","십만명당","56.7","59.3","53.5","61.1","61.9","64","61.8","60","51.1","48.5","46","47.2","43.5","42.6","41.3","41.8","45.3","46.5","48.2",
"계","계","30 - 34세","사망자수[명]","명","3339","3470","2838","3018","2745","3040","2809","2779","2727","2670","2524","2315","2122","1849","1861","1788","1752","1770","1837",
"계","계","30 - 34세","사망률[십만명당]","십만명당","73.4","78.1","66.3","73","68.8","78.2","72.2","70.3","68","66.1","63.5","61","59","54.6","57.7","56.7","56","56","56.5",
"계","계","35 - 39세","사망자수[명]","명","5365","5047","4640","4574","4644","4718","4464","4062","3742","3603","3416","3103","3064","3062","3204","3117","3007","2771","2590",
"계","계","35 - 39세","사망률[십만명당]","십만명당","123.2","114.2","103","99.8","101.4","104.1","100.7","95","90.8","90.6","88.2","79.9","77.7","76.6","79.5","78.7","79.4","77.2","76.5",
"계","계","40 - 44세","사망자수[명]","명","8974","8097","7288","7083","6860","7000","6890","6576","6318","6274","5854","5537","5192","4680","4513","4219","4155","4217","4568",
