"시도별","시점",원데이터,전월 대비 증감률
"전국","2020.01",100.09,0.4
"전국","2020.02",100.16,0.1
"전국","2020.03",99.94,-0.2
"전국","2020.04",99.50,-0.4
"전국","2020.05",99.44,-0.1
"전국","2020.06",99.71,0.3
"전국","2020.07",99.63,-0.1
"전국","2020.08",100.19,0.6
"전국","2020.09",100.74,0.5
"전국","2020.10",100.18,-0.6
"전국","2020.11",100.09,-0.1
"전국","2020.12",100.33,0.2
"전국","2021.01",101.04,0.7
"전국","2021.02",101.58,0.5
"전국","2021.03",101.84,0.3
"전국","2021.04",101.98,0.1
"전국","2021.05",102.05,0.1
"전국","2021.06",102.05,0.0
"전국","2021.07",102.26,0.2
"전국","2021.08",102.75,0.5
"전국","2021.09",103.17,0.4
"전국","2021.10",103.35,0.2
"전국","2021.11",103.87,0.5
"전국","2021.12",104.04,0.2
"전국","2022.01",104.85,0.8
"전국","2022.02",105.42,0.5
"전국","2022.03",106.10,0.6
"전국","2022.04",106.83,0.7
"전국","2022.05",107.50,0.6
"전국","2022.06",108.21,0.7
"전국","2022.07",108.73,0.5
"전국","2022.08",108.63,-0.1
"전국","2022.09",108.82,0.2
"전국","2022.10",109.16,0.3
"전국","2022.11",109.07,-0.1
"전국","2022.12",109.26,0.2
"전국","2023.01",110.07,0.7
"전국","2023.02",110.33,0.2
"전국","2023.03",110.52,0.2
"전국","2023.04",110.77,0.2
"전국","2023.05",111.13,0.3
"전국","2023.06",111.16,0.0
"전국","2023.07",111.29,0.1
"전국","2023.08",112.28,0.9
"전국","2023.09",112.85,0.5
"전국","2023.10",113.27,0.4
"전국","2023.11",112.68,-0.5
"전국","2023.12",112.73,0.0
"전국","2024.01",113.17,0.4
"전국","2024.02",113.78,0.5
"전국","2024.03",113.95,0.1
"전국","2024.04",114.01,0.1
"전국","2024.05",114.10,0.1
"전국","2024.06",113.84,-0.2
"전국","2024.07",114.13,0.3
